folioviv,foliohog,numren,clave,material,gasto,gasto_tri
01000382804,1,06,E002B,500,500,1500
01000382804,1,04,E004A,1500,1500,4500
01000382804,1,05,E003A,500,500,1500
01000382804,1,04,E004B,500,500,1500
01000382804,1,03,E005A,2000,2000,6000
01000382804,1,06,E002A,500,500,1500
01000382804,1,05,E003B,500,500,1500
01000382804,1,03,E005B,500,500,1500
01001301004,1,03,E001B,100,100,290.32
01001301005,1,04,E002B,140,140,406.45
01001301005,1,04,E002A,60,60,174.19
01001781703,1,05,E002B,50,50,145.16
01001781703,1,06,E001B,50,50,145.16
01002300406,1,03,E003A,66,66,191.61
01002480806,1,06,E001B,304,304,977.14
01002791105,1,03,E002A,46,46,133.54
01003410702,1,04,E004A,600,600,1928.57
01003451806,1,04,E003A,30,30,87.09
01003451806,1,05,E002A,26,26,75.48
01003451806,1,03,E002A,55,55,159.67
01003870601,1,03,E001B,900,900,2612.9
01004003105,1,05,E002B,698,698,2026.45
01004003105,1,05,E002A,200,200,580.64
01004652404,1,03,E002A,180,180,522.58
01004652404,1,03,E002B,138,138,400.64
01005262006,1,03,E005B,240,240,720
01006002705,1,03,E002B,324,324,940.64
01006002705,1,03,E002A,176,176,510.96
01006002706,1,03,E004B,250,250,725.8
01006671804,1,04,E001B,30,30,87.09
01006723304,1,06,E002B,100,100,290.32
01007243405,1,08,E002B,150,150,450
01007243405,1,07,E002B,150,150,450
01007243405,1,10,E002B,150,150,450
01007243405,1,09,E002B,150,150,450
01007582605,1,06,E002B,195,195,566.12
01007582605,1,04,E002A,90,90,261.29
01007582605,1,06,E002A,105,105,304.83
01007582605,1,04,E002B,210,210,609.67
01007600705,1,03,E002B,75,75,241.07
01007600705,1,04,E002A,75,75,241.07
01007600705,1,03,E002A,75,75,241.07
01007600705,1,04,E002B,75,75,241.07
01008042206,1,03,E002B,500,500,1451.61
01008042206,1,03,E002A,500,500,1451.61
01008102503,1,03,E003A,250,250,725.8
01008102504,1,04,E002A,1000,1000,2903.22
01008551906,1,05,E002B,50,50,150
01008551906,1,04,E001B,50,50,150
01008551906,1,03,E002B,50,50,150
01008551906,1,02,E003B,100,100,300
01008672503,1,03,E001A,200,200,580.64
01008672503,1,03,E001B,400,400,1161.29
01008672504,1,05,E002A,200,200,580.64
01008672504,1,05,E002B,200,200,580.64
01008672505,1,05,E003B,200,200,580.64
01008672505,1,06,E001A,150,150,435.48
01008672505,1,05,E003A,300,300,870.96
01008672505,1,06,E001B,250,250,725.8
01008672505,1,07,E001A,150,150,435.48
01008672505,1,07,E001B,250,250,725.8
01008812804,1,03,E002B,225,225,675
01008812804,1,03,E002A,75,75,225
01009381702,1,03,E002A,150,150,435.48
01009521004,1,03,E005B,2500,2500,7258.06
01010503201,1,04,E002B,20,20,58.06
01010503201,1,03,E003B,57,57,165.48
01010593302,1,05,E005A,100,100,290.32
01010911205,1,03,E002B,48,48,139.35
01011332704,1,02,E001A,13,13,37.74
01011332704,1,02,E001B,156,156,452.9
01011332704,1,03,E001A,13,13,37.74
01011332704,1,04,E002B,56,56,162.58
01011332704,1,03,E001B,100,100,290.32
01011332704,1,04,E002A,65,65,188.7
01011332706,1,04,E005B,1500,1500,4354.83
01011383004,1,03,E002B,300,300,900
01011462401,1,04,E001A,40,40,116.12
01011462401,1,03,E002A,200,200,580.64
01011462401,1,04,E001B,415,415,1204.83
01011462401,1,03,E002B,420,420,1219.35
01011462404,1,03,E002B,217,217,629.99
01011462404,1,03,E002A,133,133,386.12
01011462404,1,05,E001B,198,198,574.83
01011462404,1,05,E001A,19,19,55.16
01011462404,1,04,E002A,78,78,226.45
01011462404,1,04,E002B,223,223,647.41
01011520401,1,05,E002B,65,65,188.7
01011520401,1,04,E003B,65,65,188.7
01011520401,1,03,E004B,70,70,203.22
01011520405,1,03,E001B,400,400,1161.29
01011623604,1,04,E004B,200,200,600
01011860806,1,05,E001B,50,50,160.71
01012581002,1,03,E004B,140,140,406.45
01012581002,1,05,E002B,60,60,174.19
01012603101,1,03,E003A,120,120,348.38
01012603101,1,03,E003B,340,340,987.09
01012603101,1,04,E003A,160,160,464.51
01012603101,1,04,E003B,240,240,696.77
01012603101,1,05,E002A,100,100,290.32
01012603101,1,05,E002B,150,150,435.48
01012650701,1,02,E003A,116,116,372.85
01012650701,1,02,E003B,155,155,498.21
01012650706,1,03,E003B,80,80,257.14
01012650706,1,04,E002B,70,70,224.99
01012661301,1,01,E005B,240,240,720
01012822005,1,07,E003A,110,110,330
01012822005,1,04,E005A,30,30,90
01012822005,1,08,E002B,135,135,405
01012822005,1,08,E002A,110,110,330
01012822005,1,07,E003B,135,135,405
01013071704,1,03,E002B,75,75,217.74
01013361401,1,03,E002A,100,100,300
01013361401,1,04,E001A,100,100,300
01013361404,1,03,E004A,66,66,198
01013591601,1,04,E003B,22,22,63.87
01013591602,1,03,E001B,55,55,159.67
01013591604,1,03,E002B,200,200,580.64
01013591604,1,04,E002B,200,200,580.64
01013701201,1,03,E002B,84,84,243.87
01013701201,1,03,E002A,54,54,156.77
01014580603,1,01,E005B,2000,2000,5806.45
01014852603,1,04,E003A,220,220,638.7
01014852603,1,04,E003B,210,210,609.67
01014852603,1,03,E005A,189,189,548.7
01014852605,1,03,E002B,420,420,1219.35
01014852605,1,04,E002A,120,120,348.38
01014852605,1,04,E002B,380,380,1103.22
01014852605,1,03,E002A,160,160,464.51
01014852606,1,03,E004A,120,120,348.38
01014852606,1,03,E004B,80,80,232.25
01014852606,1,05,E003B,307,307,891.29
01014852606,1,05,E003A,162,162,470.32
01014852606,1,04,E003B,307,307,891.29
01014852606,1,04,E003A,162,162,470.32
01014901102,1,03,E002B,39,39,113.22
01014901102,1,04,E002B,18,18,52.25
01014901106,1,04,E002B,74,74,214.83
01014901106,1,05,E001B,108,108,313.54
01014901106,1,04,E002A,40,40,116.12
01014901106,1,03,E003B,78,78,226.45
01014901106,1,03,E003A,60,60,174.19
01014920301,1,03,E002B,39,39,113.22
01014920301,1,03,E002A,48,48,139.35
01015433001,1,05,E005B,248,248,744
01015433001,1,05,E005A,66,66,198
01015433002,1,06,E002B,186,186,558
01015433002,1,06,E002A,126,126,378
01015433006,1,02,E004A,240,240,720
01015433006,1,03,E003A,120,120,360
01015433006,1,03,E003B,230,230,690
01015952902,1,05,E003A,99,99,297
01015952902,1,04,E005B,100,100,300
01015952902,1,04,E005A,150,150,450
01015952903,1,03,E002A,100,100,300
01015952903,1,03,E002B,200,200,600
01015952904,1,04,E002A,126,126,378
