folioviv,foliohog,numren,mes_dia,clave,gasto,gasto_tri
05060990204,1,01,220119,B001A,10,128.57
05060990204,1,01,220119,B003B,12,154.28
05060990204,1,01,220119,B003A,0,0
05060990204,1,01,220119,B001B,6,77.14
07026532405,1,01,220823,B001A,40,514.28
07026532405,1,01,220826,B001A,40,514.28
07026532405,1,01,220825,B001A,40,514.28
07026532405,1,01,220824,B001A,40,514.28
08005721301,1,01,220503,B003B,14,179.99
08005721301,1,01,220502,B003B,14,179.99
08005721301,1,01,220504,B003B,14,179.99
08005721301,1,01,220505,B003B,14,179.99
08005721301,1,01,220506,B003B,14,179.99
08007582603,1,03,220913,B003B,14,179.99
08007582603,1,03,220912,B003B,14,179.99
08007582603,1,03,220910,B003B,14,179.99
08007582603,1,03,220909,B003B,14,179.99
08007582603,1,01,220915,B003B,14,179.99
08007582603,1,01,220912,B003B,14,179.99
08007582603,1,01,220909,B003B,14,179.99
08007582603,1,03,220914,B003B,14,179.99
08007582603,1,03,220915,B003B,14,179.99
08007582603,1,04,220909,B003B,14,179.99
08007582603,1,04,220910,B003B,14,179.99
08007582603,1,04,220912,B003B,14,179.99
08007582603,1,04,220913,B003B,14,179.99
08007582603,1,04,220914,B003B,14,179.99
08007582603,1,01,220914,B003B,14,179.99
08007582603,1,04,220915,B003B,14,179.99
08007582603,1,01,220913,B003B,14,179.99
08007582603,1,01,220910,B003B,14,179.99
08007582605,1,01,220914,B003B,14,179.99
08007582605,1,01,220913,B003B,14,179.99
08007582605,1,01,220912,B003B,14,179.99
08007582605,1,01,220909,B003B,14,179.99
08007582605,1,01,220915,B003B,14,179.99
08008840802,1,02,220314,B003B,7,89.99
08008840802,1,01,220314,B003B,7,89.99
08008840806,1,01,220317,B003B,7,89.99
08015021005,1,04,220405,B003B,14,179.99
08015021005,1,04,220404,B003B,14,179.99
08015021005,1,03,220408,B003B,14,179.99
08015021005,1,03,220407,B003B,14,179.99
08015021005,1,03,220406,B003B,14,179.99
08015021005,1,03,220405,B003B,14,179.99
08015021005,1,03,220404,B003B,14,179.99
08015021005,1,02,220408,B003B,14,179.99
08015021005,1,02,220407,B003B,14,179.99
08015021005,1,02,220406,B003B,14,179.99
08015021005,1,02,220405,B003B,14,179.99
